time,latitude,longitude,speed,accuracy,bearing
1551713056480,30.017532,120.863275,42,1,26
1551713057346,30.017627,120.863329,43,1,27
1551713058408,30.017722,120.863389,45,1,30
1551713059314,30.017819,120.863457,46,1,32
1551713060398,30.017917,120.863528,47,1,33
1551713061373,30.018016,120.863606,49,1,36
1551713062475,30.018113,120.86369,49,1,38
1551713063381,30.018209,120.86378,50,1,40
1551713064408,30.018304,120.863875,51,1,41
1551713065377,30.018401,120.863972,51,1,41
1551713066431,30.018497,120.864071,52,1,41
1551713067374,30.018594,120.864174,52,0,43
1551713068429,30.018689,120.864278,52,0,43
1551713069374,30.018783,120.864382,51,1,43
1551713070477,30.018876,120.864482,50,1,43
1551713071371,30.018967,120.864583,50,1,43
1551713072415,30.019059,120.864682,50,1,44
1551713073374,30.019151,120.864783,51,1,43
1551713074335,30.019245,120.864884,51,1,43
1551713075311,30.019339,120.864986,52,1,43
1551713076355,30.019434,120.86509,52,1,43
1551713077305,30.019528,120.865193,52,1,44
1551713078361,30.019624,120.865297,53,1,43
1551713079269,30.01972,120.865401,53,1,43
1551713080418,30.019817,120.865507,53,1,44
1551713081302,30.019915,120.865613,54,1,43
1551713082315,30.020014,120.86572,55,0,43
1551713083300,30.020116,120.865827,55,0,43
1551713084386,30.020219,120.865937,57,0,43
1551713085301,30.020324,120.866049,57,0,43
1551713086518,30.020429,120.866162,58,0,43
1551713087406,30.020537,120.866278,59,0,43
1551713088392,30.020645,120.866396,60,0,44
1551713089361,30.020755,120.866516,61,0,44
1551713090494,30.020865,120.866636,61,0,44
1551713091464,30.020975,120.866757,61,0,44
1551713092487,30.021085,120.866877,61,0,43
1551713093432,30.021197,120.866996,61,0,43
1551713094516,30.021306,120.867115,60,0,43
1551713095427,30.021415,120.867232,59,0,43
1551713096495,30.021524,120.867349,60,0,43
1551713097510,30.021634,120.867466,60,0,43
1551713098618,30.021743,120.867584,60,0,43
1551713099522,30.021854,120.867703,61,0,43
1551713100564,30.021965,120.867824,61,0,44
1551713101531,30.022077,120.867945,61,0,43
1551713102537,30.022189,120.868066,61,0,44
